taxon taxlevel rankID taxon daughterlevels total CONTROL1 CONTROL2 CONTROL3 CONTROL4 CONTROL5 CONTROL6 CONTROL7 CONTROL8 CONTROL9 CONTROL10 DISEASE1 DISEASE2 DISEASE3 DISEASE4 DISEASE5 DISEASE6 DISEASE7 DISEASE8 DISEASE9 DISEASE10
Root 0 0 Root 1 642000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
Root;Bacteria 1 0.1 Bacteria 25 642000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
Acidobacteria 2 0.1.1 Acidobacteria 14 963 0 0 0 0 0 2 0 0 0 0 1 2 3 1 1 0 4 2 0 1
Acidobacteria;Acidobacteria_Gp1 3 0.1.1.1 Acidobacteria_Gp1 1 382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp1;Acidobacteria_Gp1_order_incertae_sedis 4 0.1.1.1.1 Acidobacteria_Gp1_order_incertae_sedis 1 382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp1;Acidobacteria_Gp1_order_incertae_sedis;Acidobacteria_Gp1_family_incertae_sedis 5 0.1.1.1.1.1 Acidobacteria_Gp1_family_incertae_sedis 1 382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp1;Acidobacteria_Gp1_order_incertae_sedis;Acidobacteria_Gp1_family_incertae_sedis;Gp1 6 0.1.1.1.1.1.1 Gp1 0 382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp10 3 0.1.1.2 Acidobacteria_Gp10 1 18 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp10;Acidobacteria_Gp10_order_incertae_sedis 4 0.1.1.2.1 Acidobacteria_Gp10_order_incertae_sedis 1 18 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp10;Acidobacteria_Gp10_order_incertae_sedis;Acidobacteria_Gp10_family_incertae_sedis 5 0.1.1.2.1.1 Acidobacteria_Gp10_family_incertae_sedis 1 18 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Acidobacteria;Acidobacteria_Gp10;Acidobacteria_Gp10_order_incertae_sedis;Acidobacteria_Gp10_family_incertae_sedis;Gp10 6 0.1.1.2.1.1.1 Gp10 0 18 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
