"Classification"	"Sample"	"percentage"
"Actinobacteria"	"CONTROL1"	0.002
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL1"	0.008
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL1"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL1"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL1"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL1"	0.905
"Alphaproteobacteria"	"CONTROL1"	0.009
"Bacilli"	"CONTROL1"	0.001
"Bacteroidia"	"CONTROL1"	0.001
"Betaproteobacteria"	"CONTROL1"	0.001
"Clostridia"	"CONTROL1"	0.007
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"CONTROL1"	0.023
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	"CONTROL1"	0.002
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	"CONTROL1"	0.023
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	"CONTROL1"	0
"Flavobacteria"	"CONTROL1"	0
"Fusobacteria"	"CONTROL1"	0
"Gammaproteobacteria"	"CONTROL1"	0
"Negativicutes"	"CONTROL1"	0
"Other"	"CONTROL1"	0
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	"CONTROL1"	0.015
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	"CONTROL1"	0
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	"CONTROL1"	0
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	"CONTROL1"	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	"CONTROL1"	0.003
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	"CONTROL1"	0
"Actinobacteria"	"CONTROL2"	0.016
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	"CONTROL2"	0.166
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	"CONTROL2"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	"CONTROL2"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	"CONTROL2"	0
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	"CONTROL2"	0.597
"Alphaproteobacteria"	"CONTROL2"	0.002
"Bacilli"	"CONTROL2"	0.009
"Bacteroidia"	"CONTROL2"	0
