"row"	"CONTROL1"	"CONTROL2"	"CONTROL3"	"CONTROL4"	"CONTROL5"	"CONTROL6"	"CONTROL7"	"CONTROL8"	"CONTROL9"	"CONTROL10"	"DISEASE1"	"DISEASE2"	"DISEASE3"	"DISEASE4"	"DISEASE5"	"DISEASE6"	"DISEASE7"	"DISEASE8"	"DISEASE9"	"DISEASE10"
"Actinobacteria"	0.002	0.016	0.001	0.016	0.032	0.071	0	0.042	0.04	0.071	0.054	0.049	0.033	0.047	0.028	0.022	0.084	0.031	0.034	0.008
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	0.008	0.166	0.004	0.194	0.066	0.074	0.001	0.023	0	0.334	0.049	0.178	0.071	0.042	0.015	0.037	0.04	0.029	0.05	0.37
"Actinobacteria;Actinobacteria;Actinomycetales;Intrasporangiaceae;unclassified"	0	0	0	0	0	0	0	0	0	0	0.02	0.011	0.024	0.017	0	0	0.033	0.023	0.245	0.023
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria"	0	0	0	0.085	0.003	0.181	0	0.073	0.479	0.001	0.026	0	0.007	0.023	0.008	0.001	0.015	0.013	0.003	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Micrococcus"	0	0	0	0.014	0	0.037	0	0.006	0	0	0.04	0.068	0.08	0.071	0.021	0.015	0.052	0.046	0.092	0.034
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	0.905	0.597	0.92	0.111	0.704	0.078	0.963	0.694	0	0.467	0.041	0.04	0.025	0.204	0.021	0.005	0.043	0.049	0.07	0.013
"Alphaproteobacteria"	0.009	0.002	0	0.022	0.003	0.049	0	0.004	0.036	0	0.023	0.023	0.049	0.032	0.017	0.007	0.052	0.048	0.037	0.006
"Bacilli"	0.001	0.009	0	0.015	0.094	0.038	0	0.018	0.041	0.009	0.044	0.055	0.023	0.045	0.081	0.008	0.025	0.06	0.017	0.019
"Bacteroidia"	0.001	0	0	0.004	0.003	0.015	0	0.007	0	0	0.005	0.01	0.006	0.007	0.004	0.005	0.005	0.01	0.006	0.011
"Betaproteobacteria"	0.001	0.004	0	0.075	0.017	0.029	0	0.015	0.07	0.004	0.013	0.025	0.058	0.017	0.003	0	0.008	0.008	0.003	0.012
"Clostridia"	0.007	0.067	0.002	0.013	0.005	0.019	0.002	0.013	0.009	0.014	0.016	0.015	0.022	0.019	0.005	0.001	0.012	0.005	0.004	0.001
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	0.023	0.077	0.065	0.258	0.027	0.016	0.034	0.005	0.008	0.091	0.255	0.181	0.157	0.171	0.476	0.804	0.379	0.192	0.106	0.222
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	0.002	0.011	0.003	0.027	0	0.035	0	0.007	0	0	0.053	0.06	0.11	0.016	0.033	0.002	0.031	0.181	0.041	0.006
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	0.023	0.046	0.005	0.069	0.033	0.21	0	0.057	0.013	0.003	0.177	0.068	0.08	0.084	0.217	0.052	0.027	0.133	0.031	0.074
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	0	0.002	0	0.013	0.003	0.073	0	0.01	0	0	0.02	0.01	0.014	0.004	0.001	0.001	0.003	0.001	0.011	0.011
"Flavobacteria"	0	0.002	0	0.002	0.002	0.011	0	0.006	0.084	0.003	0.001	0.017	0.008	0.003	0	0.006	0.007	0.005	0.001	0.002
"Fusobacteria"	0	0.001	0	0.001	0.003	0.007	0	0.006	0	0.001	0.004	0.005	0.002	0.002	0	0.004	0.001	0	0.001	0.003
"Gammaproteobacteria"	0	0	0	0	0	0.014	0	0.005	0	0	0.043	0.028	0.038	0.012	0.012	0.004	0.023	0.013	0.018	0.007
"Negativicutes"	0	0	0	0	0.004	0.004	0	0	0	0	0.003	0.005	0.005	0	0	0	0.003	0.001	0.003	0
"Other"	0	0	0	0.008	0.001	0.004	0	0.004	0.003	0.002	0.009	0.009	0.012	0.012	0.011	0.002	0.017	0.007	0.002	0.008
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	0.015	0	0	0.006	0	0.005	0	0.001	0.023	0	0.014	0.047	0.019	0.047	0.016	0.014	0.014	0.037	0.016	0.002
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus"	0	0	0	0.003	0	0.002	0	0	0	0	0.029	0.016	0.015	0.021	0.016	0.002	0.054	0.056	0.04	0.001
"Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;unclassified"	0	0	0	0	0	0	0	0	0	0	0.01	0.002	0.024	0.006	0.004	0.004	0.02	0.01	0.124	0.128
"Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas"	0	0	0	0	0	0	0	0	0	0	0.05	0.056	0.049	0.096	0.011	0.004	0.052	0.042	0.044	0.039
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	0.003	0	0	0.021	0	0.006	0	0.004	0.083	0	0	0.016	0.047	0.002	0	0	0	0	0.001	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Diaphorobacter"	0	0	0	0.043	0	0.022	0	0	0.111	0	0.001	0.006	0.022	0	0	0	0	0	0	0
