"sorted.genustable.taxon"	"CONTROL1"	"CONTROL2"	"CONTROL3"
"Actinobacteria;Actinobacteria;Actinomycetales;Propionibacteriaceae;Propionibacterium"	0.905	0.597	0.92
"Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	0.023	0.077	0.065
"Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium"	0.008	0.166	0.004
"Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus"	0.023	0.046	0.005
"Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus"	0.002	0.011	0.003
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas"	0.015	0	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	0.003	0	0
"Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella"	0	0.002	0
"Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces"	0.001	0.005	0
"Actinobacteria;Actinobacteria;Actinomycetales;unclassified;unclassified"	0.001	0.01	0.001
"Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum"	0	0.008	0
"Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas"	0.001	0	0
"Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia"	0	0.001	0
"Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XI;Anaerococcus"	0.005	0.024	0.002
"Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XI;Peptoniphilus"	0	0.015	0
"Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium"	0.003	0	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified;unclassified"	0	0.002	0
"Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XI;Finegoldia"	0	0.027	0
"Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria"	0	0.001	0
"Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia"	0	0.001	0
"Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella"	0	0.001	0
"Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium"	0	0.001	0
"Fusobacteria;Fusobacteria;Fusobacteriales;Fusobacteriaceae;Fusobacterium"	0	0.001	0
"Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified;unclassified"	0	0.002	0
"Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herminiimonas"	0.001	0	0
"Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella"	0.001	0	0
"Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia"	0.002	0	0
"Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XI;Gallicola"	0	0.001	0
"Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	0.001	0	0
"Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Soonwooa"	0	0.001	0
"Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;unclassified"	0.003	0	0
"Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis"	0.001	0	0
"Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia"	0.001	0	0
